algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
rcbincr,16,500,180251.0,180251.0,16,85634.1875,90009.0,17499.25,3066193750.0,3200000000.0,645482094.2197648,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4843750000.0,4900000000.0,280401497.856199,340140.0,340140.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,16,1000,180231.0,180231.0,16,181134.1875,183009.0,24764.608158199608,3150000000.0,3200000000.0,478887599.8951459,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4850000000.0,4900000000.0,282842712.47461903,340120.0,340120.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,16,1000,180231.0,180231.0,16,179009.1875,178009.0,26632.719235854107,3150000000.0,3200000000.0,478887599.8951459,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4850000000.0,4900000000.0,282842712.47461903,340120.0,340120.0,0.0,4000000000.0,4000000000.0,0.0
rcb,16,1000,180231.0,180231.0,16,85634.1875,90009.0,17499.25,3066306250.0,3200000000.0,645034599.0397208,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4843750000.0,4900000000.0,280401497.856199,340120.0,340120.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,16,1000,180231.0,180231.0,16,85634.1875,90009.0,17499.25,3066368750.0,3200000000.0,644785992.112887,646878.75,600000.0,187515.0,4825000000.0,3700000000.0,4393555887.129847,646878.75,650004.0,12501.0,4843750000.0,4900000000.0,280401497.856199,340120.0,340120.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,32,100,180411.0,180411.0,32,176465.34375,176509.0,21749.30300790435,3090625000.0,3100000000.0,283252281.2594979,1288441.375,1240000.0,274025.79802000395,4953125000.0,3900000000.0,5957374631.496662,1288441.375,1290004.0,8839.54187161303,4912500000.0,4900000000.0,193023481.77392572,660300.0,660300.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,32,100,180411.0,180411.0,32,176259.09375,177009.0,21924.314465847707,3090625000.0,3100000000.0,283252281.2594979,1290004.0,1240000.0,278410.4891989524,4987096774.193548,3900000000.0,6052698678.302314,1288390.9677419355,1290004.0,8980.98352254685,4912903225.806452,4900000000.0,196200468.03184232,660300.0,660300.0,0.0,4000000000.0,4000000000.0,0.0
rcb,32,100,180411.0,180411.0,32,87821.59375,90009.0,12373.838340678692,3046671875.0,3100000000.0,432928430.5259488,1288441.375,1240000.0,274025.79802000395,4950000000.0,3900000000.0,5939696961.966999,1288441.375,1290004.0,8839.54187161303,4903125000.0,4900000000.0,192579057.9174877,660300.0,660300.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,32,100,180411.0,180411.0,32,87821.59375,90009.0,12373.838340678692,3046675000.0,3100000000.0,432910896.73988223,1288441.375,1240000.0,274025.79802000395,4950000000.0,3900000000.0,5939696961.966999,1288441.375,1290004.0,8839.54187161303,4903125000.0,4900000000.0,192579057.91748774,660300.0,660300.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,32,250,180291.0,180291.0,32,175384.09375,176259.0,22069.489783715166,3090625000.0,3100000000.0,283252281.2594978,1288441.375,1240000.0,274025.79802000395,4953125000.0,3900000000.0,5957374631.496663,1288441.375,1290004.0,8839.54187161303,4912500000.0,4900000000.0,193023481.77392572,660180.0,660180.0,0.0,4000000000.0,4000000000.0,0.0
hilbert,32,250,180291.0,180291.0,32,175571.59375,176259.0,22146.359661330163,3090625000.0,3100000000.0,283252281.2594978,1288441.375,1240000.0,274025.79802000395,4953125000.0,3900000000.0,5957374631.496662,1288441.375,1290004.0,8839.54187161303,4912500000.0,4900000000.0,193023481.77392572,660180.0,660180.0,0.0,4000000000.0,4000000000.0,0.0
rcb,32,250,180291.0,180291.0,32,87821.59375,90009.0,12373.838340678692,3046693750.0,3100000000.0,432805694.2693054,1288441.375,1240000.0,274025.79802000395,4950000000.0,3900000000.0,5939696961.966999,1288441.375,1290004.0,8839.54187161303,4903125000.0,4900000000.0,192579057.91748774,660180.0,660180.0,0.0,4000000000.0,4000000000.0,0.0
rcbincr,32,250,180291.0,180291.0,32,87821.59375,90009.0,12373.838340678692,3046703125.0,3100000000.0,432753093.1921096,1288441.375,1240000.0,274025.79802000395,4950000000.0,3900000000.0,5939696961.966999,1288441.375,1290004.0,8839.54187161303,4903125000.0,4900000000.0,192579057.9174877,660180.0,660180.0,0.0,4000000000.0,4000000000.0,0.0
gilbert,32,500,180251.0,180251.0,32,172227.84375,173009.0,22509.409821743116,3090625000.0,3100000000.0,284388846.7029469,1288441.375,1240000.0,274025.79802000395,4953125000.0,3900000000.0,5957374631.496662,1288441.375,1290004.0,8839.54187161303,4915625000.0,4900000000.0,193623137.44704866,660140.0,660140.0,0.0,4000000000.0,4000000000.0,0.0
