ntasks,algo,A,r,R,segment,task,seg_stopped,br,bs,fb,fc,mb,mc
4,hilbert,,,,7,0,0,40704,0,100204,9,140908,9
4,hilbert,,,,7,1,0,23872,40704,418120,14,461832,15
4,hilbert,,,,7,2,0,0,54616,457168,15,186488,13
4,hilbert,,,,7,3,0,30744,0,223452,9,123124,6
4,hilbert,,,,8,0,0,1588,0,36052,7,51080,5
4,hilbert,,,,8,1,0,1272,1588,7136,10,10436,8
4,hilbert,,,,8,2,0,0,5208,21692,6,15712,5
4,hilbert,,,,8,3,0,3936,0,69508,6,7908,4
4,hilbert,,,,9,0,0,124,0,17432,5,4116,6
4,hilbert,,,,9,1,0,16,124,16228,7,18312,6
4,hilbert,,,,9,2,0,0,376,11676,5,29060,6
4,hilbert,,,,9,3,0,360,0,756,4,1116,6
4,hilbert,,,,10,0,0,0,0,0,0,0,0
4,hilbert,,,,10,1,0,0,0,0,0,0,0
4,hilbert,,,,10,2,0,0,0,0,0,0,0
4,hilbert,,,,10,3,0,0,0,0,0,0,0
4,hilbert,0.25,0.85,1.2,1,0,0,528352,0,1056704,2,1585056,5
4,hilbert,0.25,0.85,1.2,1,1,0,351332,528352,1759368,2,2629100,12
4,hilbert,0.25,0.85,1.2,1,2,0,697124,1048576,3491400,3,3139948,13
4,hilbert,0.25,0.85,1.2,1,3,0,1048576,1048456,3145488,2,4194120,5
4,hilbert,0.25,0.85,1.2,2,0,0,54512,0,113088,4,167600,8
4,hilbert,0.25,0.85,1.2,2,1,0,46436,54512,274700,9,479136,12
4,hilbert,0.25,0.85,1.2,2,2,0,0,46636,143228,11,178512,9
4,hilbert,0.25,0.85,1.2,2,3,0,200,0,456,4,528,3
4,hilbert,0.25,0.85,1.2,3,0,0,2508,0,39016,7,53812,8
4,hilbert,0.25,0.85,1.2,3,1,0,2264,2508,10304,9,16908,9
4,hilbert,0.25,0.85,1.2,3,2,0,0,2292,8224,5,55852,9
4,hilbert,0.25,0.85,1.2,3,3,0,28,0,56,2,212,5
4,hilbert,0.25,0.85,1.2,4,0,0,60,0,1940,6,2000,4
4,hilbert,0.25,0.85,1.2,4,1,0,16,60,12972,6,14240,5
4,hilbert,0.25,0.85,1.2,4,2,0,0,16,16,1,784,2
4,hilbert,0.25,0.85,1.2,4,3,0,0,0,0,0,0,0
4,hilbert,0.25,0.85,1.2,5,0,0,0,134896,343224,7,458184,8
4,hilbert,0.25,0.85,1.2,5,1,0,134896,53468,672336,12,1116548,13
4,hilbert,0.25,0.85,1.2,5,2,0,53468,20232,264908,13,302880,15
4,hilbert,0.25,0.85,1.2,5,3,0,20232,0,40748,6,44660,6
4,hilbert,0.25,0.85,1.2,6,0,0,121688,0,431768,8,291312,7
4,hilbert,0.25,0.85,1.2,6,1,0,50460,121688,1084116,13,382104,9
4,hilbert,0.25,0.85,1.2,6,2,0,30056,50460,332640,16,297756,10
4,hilbert,0.25,0.85,1.2,6,3,0,0,30056,1112884,7,148940,7
4,hilbert,0.25,0.85,1.2,7,0,0,12396,0,72728,7,85124,8
4,hilbert,0.25,0.85,1.2,7,1,0,2936,12396,68472,9,105284,13
4,hilbert,0.25,0.85,1.2,7,2,0,0,11728,28084,7,79780,11
4,hilbert,0.25,0.85,1.2,7,3,0,8792,0,106412,7,49668,7
4,hilbert,0.25,0.85,1.2,8,0,0,920,0,49884,7,50804,6
4,hilbert,0.25,0.85,1.2,8,1,0,128,920,20908,9,20308,8
4,hilbert,0.25,0.85,1.2,8,2,0,0,1072,4132,7,4840,4
4,hilbert,0.25,0.85,1.2,8,3,0,944,0,33972,7,2148,4
4,hilbert,0.25,0.85,1.2,9,0,0,28,0,3916,4,3960,3
4,hilbert,0.25,0.85,1.2,9,1,0,0,28,116,4,88,3
4,hilbert,0.25,0.85,1.2,9,2,0,0,16,32,2,2068,3
4,hilbert,0.25,0.85,1.2,9,3,0,16,0,68,3,148,4
4,hilbert,0.25,0.85,1.2,10,0,0,20,0,40,2,1036,4
4,hilbert,0.25,0.85,1.2,10,1,0,0,20,40,2,48,3
4,hilbert,0.25,0.85,1.2,10,2,0,0,20,2076,3,6136,3
4,hilbert,0.25,0.85,1.2,10,3,0,20,0,156,4,208,4
4,hilbert,0.25,0.85,1.2,1,0,0,528968,0,1057936,2,1586904,7
4,hilbert,0.25,0.85,1.2,1,1,0,351732,528968,1761400,2,2625828,15
4,hilbert,0.25,0.85,1.2,1,2,0,696844,1048164,3490016,2,4187248,13
4,hilbert,0.25,0.85,1.2,1,3,0,1048164,1048576,5242056,3,5241644,7
4,hilbert,0.25,0.85,1.2,2,0,0,15352,0,35384,6,50736,7
4,hilbert,0.25,0.85,1.2,2,1,0,12132,15352,92004,12,290256,11
4,hilbert,0.25,0.85,1.2,2,2,0,0,12360,1082080,9,39760,9
4,hilbert,0.25,0.85,1.2,2,3,0,228,0,16428,6,1032720,5
4,hilbert,0.25,0.85,1.2,3,0,0,11000,0,25648,6,44840,7
4,hilbert,0.25,0.85,1.2,3,1,0,8988,11000,275264,11,292708,14
4,hilbert,0.25,0.85,1.2,3,2,0,0,9132,541336,10,542964,7
4,hilbert,0.25,0.85,1.2,3,3,0,144,0,2064744,6,1048824,5
4,hilbert,0.25,0.85,1.2,4,0,0,7892,0,55008,8,54708,7
4,hilbert,0.25,0.85,1.2,4,1,0,6628,7892,48300,12,59324,11
4,hilbert,0.25,0.85,1.2,4,2,0,0,6728,22044,6,17976,7
4,hilbert,0.25,0.85,1.2,4,3,0,100,0,1048736,5,1048836,5
4,hilbert,0.25,0.85,1.2,5,0,0,0,105292,249508,7,406360,7
4,hilbert,0.25,0.85,1.2,5,1,0,105292,42392,665620,14,1020360,10
4,hilbert,0.25,0.85,1.2,5,2,0,42392,20792,143384,9,259948,14
