ntasks,freq,task,segment,mc,mb,fc,fb,bs,br
16,125,9,1,500,9298000,498,9260808,0,4649000
16,125,6,1,500,9298000,498,9260808,0,4649000
16,125,1,1,500,9876000,498,9836496,0,4938000
16,125,14,1,500,9876000,498,9836496,0,4938000
16,125,13,1,500,9298000,498,9260808,0,4649000
16,125,5,1,500,9876000,498,9836496,0,4938000
16,125,3,1,500,9876000,498,9836496,0,4938000
16,125,11,1,500,9298000,498,9260808,0,4649000
16,125,7,1,500,9876000,498,9836496,0,4938000
16,125,15,1,500,9298000,498,9260808,0,4649000
16,125,8,1,500,9876000,500,9876000,0,4938000
16,125,0,2,250,72047000,250,72047000,72047000,0
16,125,12,2,500,9876000,500,9876000,0,4938000
16,125,4,2,500,9298000,500,9298000,0,4649000
16,125,2,2,500,9298000,500,9298000,0,4649000
16,125,10,2,500,9876000,500,9876000,0,4938000
16,125,1,2,500,9876000,500,9876000,0,4938000
16,125,9,2,500,9298000,500,9298000,0,4649000
16,125,14,2,500,9876000,500,9876000,0,4938000
16,125,6,2,500,9298000,500,9298000,0,4649000
16,125,13,2,500,9298000,500,9298000,0,4649000
16,125,5,2,500,9876000,500,9876000,0,4938000
16,125,3,2,500,9876000,500,9876000,0,4938000
16,125,11,2,500,9298000,500,9298000,0,4649000
16,125,15,2,500,9298000,500,9298000,0,4649000
16,125,7,2,500,9876000,500,9876000,0,4938000
16,125,0,3,250,72047000,250,72047000,72047000,0
16,125,8,3,500,9876000,500,9876000,0,4938000
16,125,12,3,500,9876000,500,9876000,0,4938000
16,125,4,3,500,9298000,500,9298000,0,4649000
16,125,10,3,500,9876000,500,9876000,0,4938000
16,125,2,3,500,9298000,500,9298000,0,4649000
16,125,9,3,500,9298000,500,9298000,0,4649000
16,125,1,3,500,9876000,500,9876000,0,4938000
16,125,6,3,500,9298000,500,9298000,0,4649000
16,125,14,3,500,9876000,500,9876000,0,4938000
16,125,13,3,500,9298000,500,9298000,0,4649000
16,125,5,3,500,9876000,500,9876000,0,4938000
16,125,3,3,500,9876000,500,9876000,0,4938000
16,125,11,3,500,9298000,500,9298000,0,4649000
16,125,15,3,500,9298000,500,9298000,0,4649000
16,125,7,3,500,9876000,500,9876000,0,4938000
16,125,0,4,250,72047000,250,72047000,72047000,0
16,125,4,4,500,9298000,500,9298000,0,4649000
16,125,8,4,500,9876000,500,9876000,0,4938000
16,125,12,4,500,9876000,500,9876000,0,4938000
16,125,10,4,500,9876000,500,9876000,0,4938000
16,125,2,4,500,9298000,500,9298000,0,4649000
16,125,9,4,500,9298000,500,9298000,0,4649000
16,125,1,4,500,9876000,500,9876000,0,4938000
16,125,14,4,500,9876000,500,9876000,0,4938000
16,125,6,4,500,9298000,500,9298000,0,4649000
16,125,13,4,500,9298000,500,9298000,0,4649000
16,125,5,4,500,9876000,500,9876000,0,4938000
16,125,11,4,500,9298000,500,9298000,0,4649000
16,125,3,4,500,9876000,500,9876000,0,4938000
16,125,7,4,500,9876000,500,9876000,0,4938000
16,125,15,4,500,9298000,500,9298000,0,4649000
16,125,0,5,250,72047000,250,72047000,72047000,0
16,125,8,5,500,9876000,500,9876000,0,4938000
16,125,12,5,500,9876000,500,9876000,0,4938000
16,125,4,5,500,9298000,500,9298000,0,4649000
16,125,10,5,500,9876000,500,9876000,0,4938000
16,125,2,5,500,9298000,500,9298000,0,4649000
16,125,9,5,500,9298000,500,9298000,0,4649000
16,125,1,5,500,9876000,500,9876000,0,4938000
16,125,6,5,500,9298000,500,9298000,0,4649000
16,125,14,5,500,9876000,500,9876000,0,4938000
16,125,13,5,500,9298000,500,9298000,0,4649000
16,125,5,5,500,9876000,500,9876000,0,4938000
16,125,3,5,500,9876000,500,9876000,0,4938000
16,125,11,5,500,9298000,500,9298000,0,4649000
16,125,15,5,500,9298000,500,9298000,0,4649000
16,125,7,5,500,9876000,500,9876000,0,4938000
16,125,8,5,500,9876000,500,9876000,0,4938000
16,125,0,6,250,72047000,250,72047000,72047000,0
16,125,12,6,500,9876000,500,9876000,0,4938000
16,125,4,6,500,9298000,500,9298000,0,4649000
16,125,2,6,500,9298000,500,9298000,0,4649000
16,125,10,6,500,9876000,500,9876000,0,4938000
16,125,9,6,500,9298000,500,9298000,0,4649000
