algorithm,ntasks,prog_n,switches_mean,switches_median,count,data_alloc_count_mean,data_alloc_count_median,data_alloc_count_std,data_alloc_bytes_mean,data_alloc_bytes_median,data_alloc_bytes_std,msg_sent_count_mean,msg_sent_count_median,msg_sent_count_std,msg_sent_bytes_mean,msg_sent_bytes_median,msg_sent_bytes_std,recv_count_mean,recv_count_median,recv_count_std,recv_bytes_mean,recv_bytes_median,recv_bytes_std,reduce_count_mean,reduce_count_median,reduce_count_std,reduce_bytes_mean,reduce_bytes_median,reduce_bytes_std
rcb,16,100,48096.0,48096.0,16,20888.1875,22013.0,4499.25,1343750000.0,1250000000.0,222017266.59579128,191255.625,180000.0,45022.5,1993750000.0,1600000000.0,1574999999.9999998,191255.625,192006.0,3001.5,2025000000.0,2000000000.0,152752523.16519466,102060.0,102060.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,16,100,48096.0,48096.0,16,20888.1875,22013.0,4499.25,1343750000.0,1250000000.0,222017266.59579128,191255.625,180000.0,45022.5,1993750000.0,1600000000.0,1574999999.9999998,191255.625,192006.0,3001.5,2025000000.0,2000000000.0,152752523.16519466,102060.0,102060.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,16,250,48072.0,48072.0,16,49325.6875,50263.0,13725.367350123397,1543750000.0,1300000000.0,666301983.5880224,191255.625,180000.0,45022.5,2006250000.0,1600000000.0,1624999999.9999998,191255.625,192006.0,3001.5,2025000000.0,2000000000.0,229492193.04078007,102036.0,102036.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,16,250,48072.0,48072.0,16,46669.4375,47263.0,9050.729053277053,1537500000.0,1300000000.0,433397431.1568232,191255.625,180000.0,45022.5,2006250000.0,1600000000.0,1624999999.9999998,191255.625,192006.0,3001.5,2037500000.0,2000000000.0,162788205.96099707,102036.0,102036.0,0.0,1700000000.0,1700000000.0,0.0
rcb,16,250,48072.0,48072.0,16,20888.1875,22013.0,4499.25,1362500000.0,1300000000.0,212524508.39060107,191255.625,180000.0,45022.5,1993750000.0,1600000000.0,1574999999.9999998,191255.625,192006.0,3001.5,2025000000.0,2000000000.0,152752523.16519466,102036.0,102036.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,16,250,48072.0,48072.0,16,20888.1875,22013.0,4499.25,1362500000.0,1300000000.0,212524508.39060107,191255.625,180000.0,45022.5,1993750000.0,1600000000.0,1574999999.9999998,191255.625,192006.0,3001.5,2025000000.0,2000000000.0,152752523.16519466,102036.0,102036.0,0.0,1700000000.0,1700000000.0,0.0
gilbert,16,500,48064.0,48064.0,16,44200.6875,46013.0,11861.102768960116,1518750000.0,1300000000.0,546770823.4108083,191255.625,180000.0,45022.5,2006250000.0,1600000000.0,1624999999.9999998,191255.625,192006.0,3001.5,2018750000.0,2000000000.0,207263921.92886183,102028.0,102028.0,0.0,1700000000.0,1700000000.0,0.0
hilbert,16,500,48064.0,48064.0,16,42450.6875,40513.0,9556.201767918395,1525000000.0,1300000000.0,369684550.21364725,191255.625,180000.0,45022.5,2006250000.0,1600000000.0,1624999999.9999998,191255.625,192006.0,3001.5,2025000000.0,2000000000.0,148323969.74191326,102028.0,102028.0,0.0,1700000000.0,1700000000.0,0.0
rcb,16,500,48064.0,48064.0,16,20888.1875,22013.0,4499.25,1368750000.0,1300000000.0,162147052.59938174,191255.625,180000.0,45022.5,1993750000.0,1600000000.0,1574999999.9999998,191255.625,192006.0,3001.5,2018750000.0,2000000000.0,142448821.21894398,102028.0,102028.0,0.0,1700000000.0,1700000000.0,0.0
rcbincr,16,500,48064.0,48064.0,16,20888.1875,22013.0,4499.25,1368750000.0,1300000000.0,162147052.59938174,191255.625,180000.0,45022.5,1993750000.0,1600000000.0,1574999999.9999998,191255.625,192006.0,3001.5,2018750000.0,2000000000.0,142448821.21894398,102028.0,102028.0,0.0,1700000000.0,1700000000.0,0.0
